Country;Growth rate per annum 2016.1;Growth rate per annum 2005-15;Share 2016.2;Year;Coal Consumption (Mtoe)
China Hong Kong SAR;-0.00280691710327;-0.00248318295241;0.0017946921289;2013;7.77097066972
of which: OECD;-0.0635863563909;-0.0185102837873;0.244727924466;2013;1058.43678493
CIS;-0.00905838030843;-0.00154917800911;0.0422996133566;2013;171.77323505
Colombia;-0.139721787745;0.147885505613;0.00122847594321;2014;5.24173005728
France;-0.010844501586;-0.0460232119106;0.0022281666752;2014;8.6369556
Italy;-0.118781259954;-0.0287087514672;0.00291253323667;2014;13.067
Turkey;0.103344489277;0.0460004512544;0.0102988220751;2014;36.126
Other Middle East;-0.000120618275404;0.132428254935;0.000127602324937;2014;0.673282743314
South Korea;-0.0481076726431;0.0455108814411;0.0218606740236;2014;84.612
Taiwan;0.0166169161165;0.00692657047209;0.0103342616931;2014;39.032979
Trinidad & Tobago;0.0;0;0.0;2015;0.0
Austria;-0.0229010467692;-0.0208387149297;0.00085092196241;2015;3.24118954682
Greece;-0.167280140027;-0.0456366075609;0.00125438184477;2015;5.6064
Norway;-0.00086963598565;0.0126859125;0.000219928144361;2015;0.819241425432
Spain;-0.239115158165;-0.0396606255088;0.00279796472751;2015;13.686
Algeria;0.0;-0.132124147807;3.86909377994e-05;2012;0.292
Taiwan;0.0166169161165;0.00692657047209;0.0103342616931;2012;37.954009
Argentina;-0.224635998086;0.0189168726476;0.000283281347947;2013;1.25256428
Bulgaria;-0.134507934609;-0.00407387860215;0.00153927190695;2013;5.928
Norway;-0.00086963598565;0.0126859125;0.000219928144361;2013;0.776249164039
China;-0.0163160516748;0.0374734655832;0.505774915218;2013;1969.07301066
Singapore;-0.065387810146;0.473898039981;0.000102054436866;2013;0.2635
Taiwan;0.0166169161165;0.00692657047209;0.0103342616931;2013;38.612662
Peru;0.0;-0.0127700470694;0.00021772585751;2014;0.869399063724
Ireland;-0.00706820233222;-0.0198977354988;0.000583056593314;2014;2.03066222097
Slovakia;-0.0496902673913;-0.0252663961555;0.000836301769596;2014;3.4242
Spain;-0.239115158165;-0.0396606255088;0.00279796472751;2014;11.639
China Hong Kong SAR;-0.00280691710327;-0.00248318295241;0.0017946921289;2014;8.14497945925
New Zealand;-0.154070465658;-0.0453779017436;0.000326689070789;2014;1.46802447675
US;-0.0877264090609;-0.0375393468003;0.0960426032543;2015;391.824933007
Peru;0.0;-0.0127700470694;0.00021772585751;2015;0.810332473488
Denmark;0.20831210624;-0.0734968368781;0.000561123655643;2015;1.72835402431
Netherlands;-0.0697936299088;0.0312171396339;0.00275197695009;2015;11.0107958345
Portugal;-0.119111420987;-0.00231745571362;0.000771436549257;2015;3.259361
Romania;-0.0888050668129;-0.0388247956456;0.00144800066482;2015;5.9144
Ireland;-0.00706820233222;-0.0198977354988;0.000583056593314;2009;1.96195005669
of which: OECD;-0.0635863563909;-0.0185102837873;0.244727924466;2009;1051.03227781
Brazil;-0.0679750843541;0.0312695931968;0.00442626001313;2010;14.4623938697
Belgium;-0.066869925922;-0.0473792954884;0.000798066786956;2010;3.7629
